Total_size,LotArea,Neighborhood,BldgType_clean,OverallQual,Age_at_sale,ExterQual,Outdoor_Porch_Size,YrSold,KitchenQual,Fireplaces,log_sales
3542,11275,NAmes,1Fam,7,3,Gd,240,2010,Gd,1,12.396693005138824
1279,5000,IDOTRR,1Fam,5,57,TA,0,2007,TA,0,11.37366339763672
3811,10846,Veenker,Twnhs,8,15,Gd,152,2008,Gd,2,12.688498794774466
2240,11600,NAmes,1Fam,6,46,TA,45,2006,TA,0,11.886211674714158
2575,11888,BrkSide,1Fam,6,15,TA,60,2009,Gd,0,12.27606501735021
1381,6402,IDOTRR,1Fam,5,59,TA,0,2009,TA,0,11.26446410567173
2384,10624,NAmes,Duplex,5,43,TA,155,2007,TA,0,11.686878772093667
2210,8176,NAmes,1Fam,5,15,TA,0,2007,TA,0,11.842229212112828
4112,10655,NridgHt,1Fam,8,5,Gd,0,2009,Gd,1,12.556729517143344
2562,8198,NridgHt,Twnhs,7,4,Gd,222,2008,Gd,1,12.240474072247506
2938,9042,Gilbert,1Fam,6,10,TA,138,2008,TA,2,12.165250651009918
3711,164660,Timber,2fmCon,5,43,TA,670,2008,TA,2,12.341258918085241
3847,14157,StoneBr,1Fam,9,1,Gd,229,2007,Gd,1,12.841129801965447
2878,9135,CollgCr,1Fam,7,5,Gd,266,2008,Gd,0,12.273731294003989
2274,14145,NWAmes,1Fam,7,8,Gd,153,2006,Gd,0,12.218495165528731
2097,12400,NAmes,1Fam,6,11,TA,0,2009,TA,0,11.951180395901384
2339,14191,Timber,1Fam,8,8,Gd,135,2010,Gd,0,12.220468525813907
1135,8400,SawyerW,1Fam,4,59,Fa,250,2009,TA,0,11.314474526246391
1440,8544,NAmes,Duplex,3,56,TA,0,2006,TA,0,11.379394072345706
2276,8849,NridgHt,Twnhs,9,3,Ex,567,2008,Ex,1,12.491251587763836
1809,2592,MeadowV,Twnhs,5,34,TA,182,2010,TA,0,11.350406535472453
1889,6435,BrkSide,1Fam,6,56,TA,0,2006,Fa,1,11.850825253582627
1757,12772,NAmes,1Fam,6,9,TA,0,2007,TA,0,11.928340903931561
3246,17600,NAmes,1Fam,6,49,TA,40,2009,TA,2,11.967180737247824
2673,2448,NridgHt,Twnhs,7,4,Gd,27,2008,Gd,0,11.944707881395766
4844,20431,NridgHt,1Fam,9,0,Ex,0,2006,Ex,2,12.988040814744458
2486,7820,NridgHt,Twnhs,9,0,Ex,264,2007,Ex,1,12.669998467265833
2980,5271,ClearCr,1Fam,7,20,TA,80,2006,Gd,1,12.154779351142624
1927,9084,Edwards,1Fam,5,58,TA,48,2008,TA,0,11.461632170582678
1204,8520,OldTown,1Fam,6,7,TA,106,2010,TA,0,11.570250531589497
2223,8400,SWISU,1Fam,6,6,TA,0,2006,TA,2,11.84939770159144
2599,11249,CollgCr,1Fam,6,12,Gd,26,2007,Gd,0,12.086725887897607
2127,9248,Gilbert,1Fam,6,17,TA,146,2009,Gd,0,12.061046873479915
2544,4224,MeadowV,Twnhs,5,31,TA,626,2007,TA,1,11.805595078933049
2234,6930,ClearCr,1Fam,5,48,TA,168,2006,Gd,0,11.77528972943772
3472,12011,NoRidge,1Fam,8,8,Gd,283,2006,Gd,1,12.542544882151386
2155,7540,Mitchel,1Fam,6,29,TA,0,2007,TA,1,11.957611286231675
2144,9144,BrkSide,1Fam,5,26,TA,0,2008,TA,0,11.884489021402711
2594,7301,Edwards,1Fam,7,6,Gd,0,2009,Gd,1,12.198544379109382
1413,1680,BrDale,Twnhs,6,2,TA,250,2009,Gd,0,11.678439903447801
2852,18800,NWAmes,1Fam,6,30,TA,417,2006,TA,1,12.154779351142624
2268,10690,IDOTRR,1Fam,5,12,TA,128,2009,TA,0,11.898187865760873
2517,9500,NAmes,1Fam,6,46,TA,76,2009,TA,2,11.976659481202368
2098,9150,NAmes,1Fam,6,46,TA,174,2008,TA,1,12.013700752882718
2052,7800,NAmes,1Fam,5,56,TA,98,2010,TA,1,11.790557201568507
2193,9830,NAmes,1Fam,5,4,TA,381,2010,Gd,1,11.99535161421452
2124,8121,Gilbert,1Fam,6,6,TA,140,2006,TA,1,12.05757263721173
2268,17120,ClearCr,1Fam,4,49,TA,59,2008,TA,1,11.808813773969108
1760,7175,SawyerW,Twnhs,6,26,TA,353,2010,TA,0,11.736069016284437
2197,10634,NAmes,1Fam,5,56,TA,66,2009,TA,0,11.719939634354555
2362,8200,CollgCr,1Fam,7,3,Gd,148,2007,Gd,1,12.299107511497363
1254,10020,Edwards,1Fam,1,59,Fa,0,2009,Fa,0,11.018629143155449
1788,8846,CollgCr,1Fam,5,10,Gd,0,2006,TA,0,11.904967552746252
3076,11143,Somerst,1Fam,8,2,Gd,373,2007,Gd,1,12.736700896592344
4135,11394,StoneBr,1Fam,9,0,Gd,113,2010,Ex,1,12.885202034321916
2263,8123,Gilbert,1Fam,6,9,TA,163,2009,TA,1,12.095141084822892
2217,5000,SWISU,1Fam,5,60,TA,0,2010,Gd,1,11.751942365440728
1873,7200,Somerst,1Fam,7,0,Gd,337,2006,Gd,1,12.142866569626381
2436,9245,CollgCr,1Fam,7,1,Gd,197,2007,Gd,0,12.271392111650817
1144,9000,SawyerW,1Fam,6,59,TA,0,2009,TA,0,11.238488619268468
3439,53107,ClearCr,1Fam,6,15,Gd,447,2007,Gd,2,12.388394202324129
1723,3182,Blmngtn,Twnhs,8,5,Gd,166,2010,Gd,1,12.165250651009918
1184,8410,Edwards,1Fam,5,10,TA,151,2006,TA,0,11.302204433654575
2108,7200,Edwards,1Fam,6,33,TA,296,2009,TA,1,11.736069016284437
2056,9382,CollgCr,1Fam,7,8,Gd,145,2008,Gd,0,12.160028707028767
4458,12474,NridgHt,1Fam,10,0,Ex,330,2008,Ex,1,12.962194625251508
2383,8405,Edwards,1Fam,5,58,TA,130,2008,TA,0,11.686878772093667
3211,12209,Mitchel,1Fam,6,7,TA,317,2009,Gd,1,12.2783933071098
1176,8339,NAmes,1Fam,5,48,TA,0,2007,TA,0,11.575900264131617
1054,7446,BrkSide,1Fam,4,56,TA,0,2006,TA,2,11.512925464970229
1274,10134,OldTown,1Fam,5,57,TA,39,2007,TA,0,11.59910316121128
2479,9571,Edwards,1Fam,5,54,TA,44,2010,TA,0,11.76756768334381
2271,7200,CollgCr,1Fam,5,37,TA,215,2009,TA,0,11.719939634354555
2616,7590,NAmes,1Fam,5,45,TA,168,2007,TA,1,12.040608205802641
1415,8967,IDOTRR,1Fam,5,57,TA,0,2007,TA,0,11.112447898373103
2800,8125,Somerst,1Fam,7,2,Gd,168,2009,Gd,0,12.392552212472792
2574,14963,Veenker,Twnhs,8,12,Gd,150,2008,Ex,2,12.411052226216713
1734,8767,CollgCr,1Fam,7,1,Gd,0,2006,Gd,1,12.01364014498549
912,10200,Sawyer,1Fam,5,11,TA,168,2008,TA,0,11.589886506106357
2683,12090,NoRidge,1Fam,8,8,Gd,267,2006,Gd,1,12.460714863903755
1945,10364,Gilbert,1Fam,6,11,TA,40,2007,TA,1,12.031719258385396
3226,9991,Sawyer,1Fam,4,16,TA,198,2009,TA,1,11.918390573078392
1406,10480,SWISU,1Fam,6,58,TA,0,2008,TA,0,11.652687407345388
1988,15576,Crawfor,1Fam,6,32,TA,0,2008,TA,0,12.083905011555967
3119,14154,NridgHt,1Fam,7,1,Gd,254,2007,Gd,1,12.542544882151386
3703,10800,Somerst,1Fam,8,0,Gd,102,2008,Ex,1,12.73596533201339
1626,9571,Edwards,1Fam,5,51,TA,0,2009,TA,0,11.002099841204238
2684,34650,Gilbert,2fmCon,5,51,TA,264,2006,TA,0,11.884489021402711
2540,4403,Somerst,1Fam,7,1,Ex,144,2010,Gd,1,12.310432660854417
1388,8960,OldTown,1Fam,5,60,TA,0,2010,TA,1,11.652687407345388
3356,11228,SawyerW,1Fam,7,15,Gd,383,2008,Gd,1,12.337100907936577
1760,8899,Gilbert,1Fam,7,0,Gd,130,2007,Gd,0,12.106992367829498
2049,7844,Sawyer,1Fam,6,28,TA,0,2006,TA,1,11.915051671812877
4616,22420,Crawfor,1Fam,6,57,TA,0,2007,TA,1,12.384218830913648
1686,8160,Edwards,1Fam,5,57,TA,0,2007,TA,0,11.744037185933616
2135,8450,NAmes,1Fam,5,42,TA,85,2010,TA,1,11.863582336583399
3437,7060,Mitchel,Duplex,7,10,TA,0,2008,TA,0,12.237086699059343
3377,16635,NWAmes,1Fam,6,9,Gd,240,2009,Gd,1,12.2783933071098
1508,21750,Mitchel,1Fam,5,54,TA,0,2008,TA,0,11.635143097694478
4312,9200,NoRidge,1Fam,8,10,Gd,66,2008,Gd,1,12.66032791780777
2109,9000,NAmes,1Fam,6,52,TA,44,2008,TA,1,11.842229212112828
1629,3378,OldTown,1Fam,7,17,TA,0,2009,TA,2,11.813030057420567
3731,12800,SawyerW,1Fam,7,20,Gd,80,2009,Gd,1,12.524526376648708
1547,8593,NAmes,1Fam,4,51,TA,0,2008,TA,0,11.59917655301345
2500,6762,CollgCr,1Fam,7,0,Gd,159,2007,Gd,0,12.182804018590819
2993,11457,Timber,1Fam,6,21,TA,0,2009,Gd,1,12.072541252905651
1638,1680,BrDale,Twnhs,6,37,TA,0,2008,TA,0,11.355101379776661
1198,5586,OldTown,1Fam,6,10,TA,98,2008,TA,0,11.288531131754366
2276,1920,BrDale,Twnhs,5,36,TA,276,2007,TA,0,11.715866308966918
2074,10839,Gilbert,1Fam,6,10,TA,36,2008,TA,1,12.106252310247962
1125,1890,MeadowV,Twnhs,4,36,TA,88,2008,TA,0,11.302204433654575
2940,10667,CollgCr,1Fam,7,13,Gd,219,2009,Gd,1,12.26434155365415
1558,4400,OldTown,1Fam,6,56,TA,0,2006,TA,0,11.661345470088502
1084,6000,BrkSide,1Fam,6,5,Gd,0,2009,TA,0,11.686878772093667
1411,4280,Crawfor,1Fam,5,5,TA,0,2007,Gd,1,11.411446296020374
1724,12354,Edwards,1Fam,6,9,TA,46,2009,Gd,0,11.608235644774552
5380,15431,NridgHt,1Fam,10,1,Ex,72,2009,Ex,2,13.226723392728571
1573,12108,Edwards,Duplex,4,53,TA,0,2008,Fa,0,11.678439903447801
1933,6240,BrkSide,1Fam,5,16,TA,0,2008,TA,1,12.000891794590137
1906,3922,Blmngtn,Twnhs,7,0,Gd,160,2007,Gd,1,12.058152515453552
3043,8750,CollgCr,1Fam,7,13,Gd,277,2008,Gd,1,12.254862809699606
2169,9855,Edwards,1Fam,6,53,TA,0,2009,TA,1,11.755871643580617
3426,16492,NAmes,1Fam,6,8,Gd,0,2010,Gd,1,12.154779351142624
2317,11214,Gilbert,1Fam,7,7,Gd,89,2006,Gd,1,12.205572520488492
1574,8600,IDOTRR,1Fam,6,56,TA,0,2006,TA,1,11.691071650353702
1822,6000,OldTown,1Fam,3,5,TA,176,2007,TA,0,11.695247021764184
1083,5684,OldTown,1Fam,6,1,TA,113,2006,Gd,0,11.608235644774552
2764,70761,ClearCr,1Fam,7,31,TA,254,2006,Gd,2,12.542544882151386
2920,9303,Timber,1Fam,6,10,Gd,266,2007,TA,0,12.225875272826354
2266,9000,Somerst,1Fam,8,1,Gd,30,2009,Gd,0,12.254862809699606
3894,9297,Mitchel,Duplex,5,30,TA,0,2006,TA,0,12.144197241812087
2686,9600,NWAmes,1Fam,7,34,TA,0,2007,TA,1,12.075394321888057
1857,4571,OldTown,1Fam,5,58,TA,0,2008,TA,0,11.49272275765271
3308,53227,ClearCr,1Fam,4,14,TA,361,2008,Gd,2,12.4529327234617
1894,5100,OldTown,1Fam,8,12,TA,255,2008,Gd,1,11.9891596439666
1740,7015,BrkSide,1Fam,5,59,TA,0,2009,Gd,1,11.608235644774552
3031,8004,Somerst,1Fam,8,0,Gd,150,2009,TA,0,12.481561937216318
2271,7200,SWISU,1Fam,7,2,Gd,256,2009,Gd,0,11.951180395901384
2088,8281,Sawyer,1Fam,5,44,TA,0,2009,TA,1,11.041048081342682
2226,11988,Crawfor,1Fam,6,13,TA,0,2008,TA,1,12.147913731356642
1656,8430,CollgCr,1Fam,5,31,TA,0,2009,TA,0,11.728036844587175
1812,3072,Blmngtn,Twnhs,7,2,Gd,164,2006,Gd,1,12.093687514935382
2581,10628,NAmes,1Fam,7,37,TA,0,2007,TA,1,12.025749091398891
2342,9480,NAmes,1Fam,5,12,TA,168,2007,Gd,2,11.894780707439258
2500,11428,NridgHt,1Fam,8,1,Gd,44,2007,Gd,1,12.429216196844383
2642,9291,SawyerW,1Fam,6,15,Gd,214,2008,Gd,0,12.138863895836725
3518,6820,StoneBr,Twnhs,8,25,Gd,54,2010,Gd,0,12.26434155365415
2503,11952,NWAmes,1Fam,7,30,TA,0,2007,TA,1,12.154779351142624
2056,3675,Edwards,Twnhs,6,3,TA,28,2008,TA,0,11.904967552746252
4234,14977,NridgHt,1Fam,8,0,Gd,313,2007,Gd,1,12.994530005894443
3347,5330,StoneBr,Twnhs,8,7,Gd,144,2007,Ex,0,12.43320821811392
2224,8480,Sawyer,1Fam,5,44,TA,24,2007,TA,0,11.794337924408413
2995,13125,CollgCr,1Fam,6,10,TA,179,2008,Gd,1,12.249610947544657
3337,13693,NridgHt,1Fam,9,1,Ex,498,2007,Ex,1,12.84792653170257
3832,10637,CollgCr,1Fam,8,1,Gd,252,2009,Gd,1,12.601487417784837
1971,5925,OldTown,1Fam,4,7,TA,72,2007,TA,0,11.401669829409995
3883,16033,NridgHt,1Fam,9,1,Gd,631,2006,Gd,1,12.694652660348845
4233,11846,NridgHt,1Fam,9,2,Gd,255,2006,Ex,1,12.832011076396668
2289,2500,OldTown,1Fam,7,4,Gd,0,2009,Ex,1,11.951180395901384
2515,4500,Mitchel,Twnhs,6,8,TA,125,2006,TA,0,12.007621706806335
1851,7758,Sawyer,1Fam,5,6,TA,132,2007,Gd,0,11.794337924408413
1984,9600,NAmes,1Fam,5,2,Gd,80,2009,Gd,1,11.898187865760873
2424,10289,NAmes,1Fam,5,42,TA,0,2007,TA,0,11.957611286231675
2969,12243,NWAmes,1Fam,5,36,TA,224,2007,TA,1,12.072541252905651
3598,10800,OldTown,2fmCon,5,36,TA,142,2006,TA,1,11.982929094215963
1431,1526,MeadowV,Twnhs,4,7,TA,0,2009,Gd,0,11.362102575235644
1640,2665,MeadowV,Twnhs,5,32,TA,165,2008,TA,1,11.652687407345388
2386,9490,NAmes,1Fam,6,56,TA,0,2006,Fa,2,11.79810440720389
1885,15578,Gilbert,1Fam,6,0,Gd,0,2006,TA,0,12.059803326028716
2483,7931,NAmes,1Fam,5,48,TA,0,2008,TA,1,11.951180395901384
1159,5784,OldTown,1Fam,5,13,TA,164,2009,TA,0,11.421906066583059
1215,7879,IDOTRR,1Fam,4,59,TA,523,2009,TA,0,10.460242108190519
5005,12692,NoRidge,1Fam,8,14,Gd,339,2007,Gd,1,12.971540487669746
2389,9120,BrkSide,1Fam,7,58,TA,100,2008,TA,0,12.122691036591123
1637,7800,Sawyer,1Fam,5,5,TA,64,2009,Gd,0,11.77528972943772
1599,7535,NAmes,1Fam,5,22,TA,297,2007,TA,0,11.695247021764184
1838,1890,BrDale,Twnhs,6,34,TA,172,2007,TA,0,11.635143097694478
2771,9803,Somerst,1Fam,7,3,Gd,108,2008,Gd,0,12.33138283649562
2469,9170,Edwards,1Fam,5,42,TA,0,2007,TA,0,11.84939770159144
3532,15602,Crawfor,1Fam,7,13,TA,54,2010,TA,2,12.57418196709457
2514,2308,NPkVill,Twnhs,6,35,TA,260,2009,TA,1,11.898187865760873
2360,7596,OldTown,Duplex,5,57,TA,0,2009,TA,0,11.732060994886899
2762,9554,SawyerW,1Fam,8,12,Gd,263,2006,Gd,1,12.2783933071098
1921,7862,Somerst,1Fam,6,0,Gd,102,2009,Gd,0,12.246734627249063
1879,9600,OldTown,1Fam,7,3,TA,0,2008,Gd,1,11.9891596439666
2302,9600,NAmes,1Fam,5,50,TA,312,2009,TA,0,11.732060994886899
2481,14559,NAmes,1Fam,5,9,Gd,366,2009,TA,2,12.01309450854769
1842,6792,NridgHt,Twnhs,7,0,Gd,167,2006,Gd,1,12.219309648562168
2183,9100,NAmes,1Fam,5,48,TA,0,2006,TA,0,11.77452020265869
1900,9187,Mitchel,1Fam,6,24,TA,120,2007,TA,0,11.805595078933049
989,10594,Crawfor,1Fam,5,57,TA,0,2007,TA,0,11.477298287327077
4356,12220,NridgHt,1Fam,10,0,Ex,210,2009,Ex,1,12.906346868281233
2702,10448,NWAmes,1Fam,6,37,TA,104,2009,TA,1,11.970350312009105
3233,10208,NoRidge,1Fam,7,12,Gd,220,2009,Gd,1,12.487485104968359
3048,9531,CollgCr,1Fam,6,9,TA,36,2007,TA,0,12.259613412458204
2362,10918,Crawfor,1Fam,7,5,Gd,0,2009,Gd,2,12.363076394339839
1294,10800,OldTown,2fmCon,4,8,TA,334,2008,TA,0,11.573550086786664
2357,11988,NAmes,1Fam,6,50,TA,40,2007,TA,2,11.918390573078392
2483,5000,BrkSide,1Fam,6,56,TA,24,2006,TA,2,11.976659481202368
7820,40094,Edwards,1Fam,10,-1,Ex,614,2007,Ex,1,12.126758838810447
3951,11787,NoRidge,1Fam,7,10,Gd,299,2007,Gd,1,12.662706040212738
1719,7500,Somerst,1Fam,7,1,Gd,182,2006,Gd,1,12.078239274020289
1557,13300,NAmes,1Fam,5,7,TA,261,2007,TA,0,11.790557201568507
4901,14948,NridgHt,1Fam,9,0,Ex,192,2008,Ex,1,13.008659261632127
953,9098,Edwards,1Fam,4,5,TA,0,2007,TA,0,11.362102575235644
4218,32668,Crawfor,1Fam,6,32,Gd,0,2007,TA,2,12.209187788430318
2892,10200,Timber,1Fam,6,19,Gd,224,2008,Gd,1,12.072541252905651
1864,6155,BrkSide,1Fam,6,9,TA,0,2008,TA,0,11.759785542901755
1219,7200,NAmes,1Fam,5,3,TA,0,2010,TA,1,11.585246126549855
334,5000,BrkSide,1Fam,1,57,Fa,0,2007,Fa,0,10.578979797857352
1817,9056,Gilbert,1Fam,8,2,Gd,135,2006,Gd,1,12.089538829274222
2316,7000,Edwards,2fmCon,5,17,TA,85,2008,TA,0,11.585246126549855
2251,8924,CollgCr,1Fam,7,9,TA,275,2008,Gd,0,12.144197241812087
2040,12735,NAmes,1Fam,4,36,TA,216,2008,TA,0,11.619535200028487
2168,11553,Sawyer,1Fam,5,38,TA,466,2006,TA,1,11.970350312009105
3629,11423,CollgCr,1Fam,8,8,Gd,180,2010,Gd,1,12.513557345278134
3863,14601,Timber,1Fam,9,3,Ex,338,2009,Ex,1,12.66032791780777
2933,11000,NoRidge,1Fam,8,7,Gd,56,2007,Gd,1,12.421184025147118
3534,10140,NWAmes,1Fam,7,10,Gd,151,2009,Gd,1,12.270220465353926
1857,4058,NAmes,Twnhs,7,9,TA,160,2007,TA,0,11.79810440720389
2476,17104,Gilbert,1Fam,7,0,Gd,124,2006,Gd,1,12.09884928474215
4173,13837,NWAmes,1Fam,7,18,Gd,0,2006,Gd,0,12.341477282536376
2375,8737,BrkSide,1Fam,6,57,TA,38,2007,TA,1,12.254862809699606
2011,7244,Mitchel,1Fam,5,37,TA,104,2007,TA,0,11.771436160121729
2370,8235,OldTown,1Fam,5,13,TA,190,2008,TA,0,11.736069016284437
2709,9375,Somerst,1Fam,7,5,Gd,364,2009,Gd,1,12.479909311159902
2068,4043,NPkVill,Twnhs,6,31,TA,55,2008,TA,0,11.84939770159144
1524,6000,OldTown,1Fam,5,51,TA,0,2008,TA,0,11.630708500626612
2625,11146,NridgHt,1Fam,8,3,Gd,208,2009,Gd,1,12.450977688625896
1646,8777,Edwards,1Fam,4,6,TA,96,2009,Gd,0,11.589886506106357
3783,10625,NridgHt,1Fam,7,4,Gd,382,2008,Gd,1,12.556729517143344
1328,6380,BrkSide,1Fam,5,56,TA,0,2006,TA,1,11.635143097694478
2286,14850,NAmes,1Fam,5,49,TA,268,2006,TA,1,11.856515169360305
2543,11040,IDOTRR,1Fam,4,56,TA,47,2006,TA,0,11.589886506106357
2456,21872,Gilbert,1Fam,7,11,TA,286,2008,TA,1,12.072541252905651
1977,3196,Blmngtn,Twnhs,7,2,Gd,163,2006,Gd,1,12.363076394339839
3222,11341,Sawyer,1Fam,5,14,TA,0,2010,TA,1,11.70766954176274
3001,10010,Mitchel,1Fam,5,31,TA,278,2006,TA,1,12.043553716032399
1286,13907,Edwards,1Fam,5,39,TA,144,2008,TA,1,11.589886506106357
2070,21780,Edwards,1Fam,6,58,TA,108,2008,TA,1,12.128111104060462
3613,13346,NoRidge,1Fam,7,6,Gd,40,2006,Gd,1,12.498742259492994
1863,6858,SWISU,1Fam,6,60,TA,66,2010,Fa,0,11.759785542901755
3160,11198,StoneBr,1Fam,9,1,Gd,183,2008,Ex,1,12.691580461311874
2069,10171,NridgHt,1Fam,7,6,Gd,0,2010,Gd,0,12.273731294003989
4185,12327,SawyerW,1Fam,8,0,Gd,389,2009,Gd,1,12.66539442642905
2486,7032,NAmes,Duplex,5,27,TA,42,2006,TA,2,11.820116003810051
2535,13101,NAmes,Duplex,5,43,TA,0,2008,TA,0,11.867798786962332
1566,7332,NAmes,1Fam,6,47,TA,168,2006,Gd,0,11.695247021764184
2342,13159,Timber,1Fam,7,0,TA,322,2009,Gd,0,12.321630986164447
1830,9967,Gilbert,1Fam,7,7,TA,100,2007,TA,1,12.043553716032399
1746,10500,NAmes,1Fam,5,2,TA,35,2007,TA,0,11.842229212112828
1994,8480,NAmes,1Fam,5,58,TA,158,2008,TA,0,11.682668239557323
1693,6292,SWISU,1Fam,7,59,TA,50,2009,TA,1,11.884489021402711
2763,11777,Sawyer,1Fam,5,40,TA,228,2006,TA,2,12.010665849187564
1932,3604,Somerst,Twnhs,7,1,Gd,102,2008,Gd,0,11.891361900690473
2147,12150,OldTown,1Fam,5,54,TA,0,2008,TA,0,11.786762130599957
2814,14585,NAmes,1Fam,6,20,TA,326,2007,Gd,2,12.111212364506214
3432,12704,NridgHt,1Fam,8,0,Ex,90,2009,Ex,1,12.442302200392747
1632,11841,Edwards,Duplex,6,17,TA,32,2007,TA,0,11.682668239557323
3655,13500,OldTown,1Fam,10,8,Ex,607,2008,Gd,1,12.691580461311874
1813,6120,BrkSide,1Fam,4,14,TA,0,2009,Gd,0,11.79810440720389
4368,11443,Timber,1Fam,8,0,Gd,392,2006,Gd,2,12.820987977820545
1929,10267,BrkSide,1Fam,6,8,TA,0,2008,Fa,0,11.77528972943772
2060,8740,Sawyer,1Fam,5,27,TA,0,2009,TA,0,11.827736204810263
3249,25095,ClearCr,1Fam,5,6,TA,48,2009,Ex,2,11.870599909242044
1087,9100,BrkSide,1Fam,5,48,TA,0,2008,TA,0,11.283512300642423
2592,8320,CollgCr,1Fam,7,4,Gd,45,2008,Gd,0,12.132964173709535
4476,13478,NridgHt,1Fam,10,1,Ex,656,2009,Ex,1,13.021326833226556
2448,6600,Mitchel,1Fam,5,5,TA,0,2008,TA,0,11.835008964139341
1953,4435,CollgCr,Twnhs,6,6,Gd,140,2009,Gd,0,11.84939770159144
1204,7990,CollgCr,1Fam,5,33,TA,0,2008,TA,0,11.608235644774552
4006,11302,StoneBr,1Fam,8,0,Gd,255,2006,Gd,1,12.672946381766982
1584,3600,OldTown,1Fam,6,13,TA,158,2006,TA,0,11.648365035864053
2050,3922,Blmngtn,Twnhs,7,0,Gd,136,2007,Gd,1,12.17664898415669
3698,12984,Crawfor,1Fam,5,29,TA,0,2006,Gd,1,12.289954129510877
2701,1950,Blueste,Twnhs,6,28,TA,161,2008,TA,1,11.925035115797062
3186,10927,NridgHt,1Fam,8,1,Gd,239,2006,Ex,1,12.524526376648708
1919,9000,IDOTRR,1Fam,6,57,TA,162,2007,Gd,1,11.856515169360305
3210,10041,SawyerW,1Fam,8,14,Gd,270,2006,Gd,1,12.301382825334498
1680,3182,Somerst,Twnhs,7,5,Gd,172,2010,Gd,0,11.925035115797062
2946,12803,CollgCr,1Fam,7,6,Gd,228,2008,Gd,1,12.30591798049989
2926,13600,NAmes,1Fam,7,19,TA,42,2009,TA,3,12.230765258120545
2348,12464,CollgCr,1Fam,5,13,TA,168,2009,Gd,0,11.931635799828413
2841,7800,Edwards,1Fam,5,4,TA,103,2006,Ex,0,12.323855681186558
4002,12168,Crawfor,1Fam,8,9,TA,0,2007,TA,2,12.791356180214175
2193,7943,Sawyer,1Fam,4,46,TA,64,2007,TA,0,11.682668239557323
3793,11050,CollgCr,1Fam,9,9,Gd,395,2009,Ex,2,12.65395846952229
2201,10395,NWAmes,1Fam,6,29,TA,0,2007,TA,1,11.904967552746252
3393,11885,CollgCr,1Fam,8,8,Gd,282,2009,Ex,1,12.474189562487116
1326,8402,Mitchel,1Fam,5,0,TA,30,2007,TA,0,11.898187865760873
1260,1491,MeadowV,Twnhs,4,38,TA,120,2010,TA,0,11.231887935237117
2297,8800,NAmes,1Fam,6,47,TA,120,2010,Gd,0,11.831379196088763
2359,7861,Gilbert,1Fam,6,3,Gd,175,2006,Gd,1,12.118333731222167
1360,7227,NAmes,1Fam,6,54,TA,0,2008,Gd,0,11.566466231898259
2650,11694,NridgHt,1Fam,9,0,Ex,108,2007,Gd,1,12.659734090733718
3882,12244,Timber,1Fam,8,5,Gd,168,2008,Gd,2,12.628067055589549
905,8248,Edwards,1Fam,3,58,TA,0,2008,TA,0,11.112447898373103
4376,10800,NWAmes,1Fam,6,11,TA,281,2008,TA,1,12.388394202324129
2024,7064,Sawyer,1Fam,5,32,TA,192,2009,TA,0,11.813030057420567
2372,2117,Somerst,Twnhs,6,7,Gd,32,2007,Gd,1,12.034691028774553
2521,10400,NWAmes,1Fam,6,34,TA,148,2006,TA,1,12.014609430818936
1556,10000,NAmes,1Fam,6,48,TA,0,2010,TA,0,11.982929094215963
1708,12342,NAmes,1Fam,5,29,TA,0,2007,TA,1,11.848683160653573
2690,9600,NAmes,1Fam,6,38,TA,0,2010,TA,2,11.938193200374572
3234,11606,NAmes,1Fam,5,38,TA,335,2007,Fa,2,11.813030057420567
2830,9020,NAmes,1Fam,6,44,TA,176,2008,TA,0,12.034691028774553
1990,9000,OldTown,1Fam,5,15,TA,0,2006,Ex,0,11.728036844587175
2205,4590,NridgHt,Twnhs,8,1,Gd,229,2007,Gd,1,12.25247901834433
2777,11900,NWAmes,1Fam,7,32,TA,192,2009,TA,1,11.320553572322773
2264,9250,NAmes,1Fam,5,2,TA,390,2007,TA,0,11.845102777308561
2688,6979,OldTown,Duplex,6,30,TA,320,2010,TA,0,11.877568578558138
3136,10896,SWISU,2fmCon,6,12,Fa,110,2007,Fa,0,12.206072645530174
800,6120,BrkSide,1Fam,2,59,Fa,0,2009,Fa,1,11.002099841204238
1643,6000,OldTown,2fmCon,5,55,TA,0,2009,Gd,0,11.440354772135393
796,8777,Edwards,1Fam,5,58,TA,328,2008,TA,0,11.350406535472453
3369,3982,Blmngtn,Twnhs,8,0,Gd,312,2006,Ex,1,12.485827127509431
3324,12677,NridgHt,Twnhs,8,4,Ex,325,2008,Ex,1,12.520883385370206
3317,7050,Somerst,1Fam,7,6,Gd,235,2007,Gd,1,12.328290278254423
4652,13860,NAmes,1Fam,8,14,Gd,380,2009,Ex,3,12.751299696013497
2862,10793,NWAmes,1Fam,5,38,TA,208,2007,TA,0,11.931635799828413
3365,9187,Somerst,1Fam,9,0,Ex,325,2009,Ex,1,12.823628446539173
1874,10530,NAmes,1Fam,6,36,TA,312,2007,TA,0,11.872346634576987
1468,7200,NAmes,1Fam,5,58,TA,27,2008,TA,0,11.495779306135258
2089,10452,Edwards,1Fam,6,55,TA,0,2008,TA,2,11.951180395901384
2281,7700,NAmes,1Fam,6,44,TA,124,2010,TA,1,11.951180395901384
1260,1936,MeadowV,Twnhs,4,37,TA,0,2007,TA,0,11.344506813345266
2227,8125,Somerst,1Fam,7,1,Gd,0,2008,Gd,0,12.235388699864227
